"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","trial_number","jar","bead","previous_bead","choice","correct","lowH_score","highH_score","state","rewarded"
"image-keyboard-response","58","42512","0.0-4.0-6.0-1.0-2.8","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","",""
"image-keyboard-response","59","42649","0.0-4.0-6.0-1.0-0.9","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","135","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","9","2","2","2","2","true","","","",""
"image-keyboard-response","60","42962","0.0-4.0-6.0-1.0-1.9","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","",""
"image-keyboard-response","61","43475","0.0-4.0-6.0-1.0-2.9","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","",""
"image-keyboard-response","62","43622","0.0-4.0-6.0-1.0-0.10","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","146","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","10","2","2","2","2","true","","","",""
"image-keyboard-response","63","43925","0.0-4.0-6.0-1.0-1.10","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","",""
"image-keyboard-response","64","44433","0.0-4.0-6.0-1.0-2.10","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","",""
"image-keyboard-response","65","44614","0.0-4.0-6.0-1.0-0.11","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","179","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","11","2","2","2","2","true","","","",""
"image-keyboard-response","66","44930","0.0-4.0-6.0-1.0-1.11","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","",""
"image-keyboard-response","67","45440","0.0-4.0-6.0-1.0-2.11","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","",""
"html-keyboard-response","68","46448","0.0-4.0-6.0-2.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","1007",""," ","","","","","","","","","","","","","","","","11","","",""
"instructions","69","47342","0.0-4.0-7.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","894","","","","[{""page_index"":0,""viewing_time"":260},{""page_index"":1,""viewing_time"":465},{""page_index"":2,""viewing_time"":169}]","","","","","","","","","","","","","","","","",""
"html-keyboard-response","70","47934","0.0-4.0-8.0-0.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","591",""," ","","","","","","","","<div align=center>In this block, there will be a <b>99%</b> chance that the jar on the next trial will be different from the jar on the current trial.<br><br></div>","","","","","","","","","","",""
"image-keyboard-response","71","48401","0.0-4.0-8.0-1.0-0.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","465","","j","","","","","","","","./tasks/HMM-beads/Images/NoChoice.png","highH","0","1","1","0","2","false","","","",""
"image-keyboard-response","72","48716","0.0-4.0-8.0-1.0-1.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","",""
"image-keyboard-response","73","49229","0.0-4.0-8.0-1.0-2.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceWrong.png","","","","","","","","","","",""
"image-keyboard-response","74","49407","0.0-4.0-8.0-1.0-0.1","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","177","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","highH","1","2","1","1","2","false","","","",""
"image-keyboard-response","75","49723","0.0-4.0-8.0-1.0-1.1","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","",""
"image-keyboard-response","76","50238","0.0-4.0-8.0-1.0-2.1","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceWrong.png","","","","","","","","","","",""
"image-keyboard-response","77","50384","0.0-4.0-8.0-1.0-0.2","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","144","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","highH","2","1","1","1","2","false","","","",""
"image-keyboard-response","78","50689","0.0-4.0-8.0-1.0-1.2","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","",""
"image-keyboard-response","79","51204","0.0-4.0-8.0-1.0-2.2","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceWrong.png","","","","","","","","","","",""
