"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","trial_number","jar","bead","previous_bead","choice","correct","lowH_score","highH_score","state","rewarded","state1_action","state2_visited","state1_key","state2_key","state1_rt","state2_rt","two_arm_score","total_bonus"
"image-keyboard-response","27","154180","0.0-4.0-4.0-1.0-1.4","5c35132e48ad2900017e535e","635ab8fc87ce89828e04cd4e","635abec4b86960c1ce0b684f","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","28","154682","0.0-4.0-4.0-1.0-2.4","5c35132e48ad2900017e535e","635ab8fc87ce89828e04cd4e","635abec4b86960c1ce0b684f","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceWrong.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","29","155005","0.0-4.0-4.0-1.0-0.5","5c35132e48ad2900017e535e","635ab8fc87ce89828e04cd4e","635abec4b86960c1ce0b684f","321","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","practice","5","1","1","2","2","false","","","","","","","","","","","",""
"image-keyboard-response","30","155310","0.0-4.0-4.0-1.0-1.5","5c35132e48ad2900017e535e","635ab8fc87ce89828e04cd4e","635abec4b86960c1ce0b684f","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","31","155813","0.0-4.0-4.0-1.0-2.5","5c35132e48ad2900017e535e","635ab8fc87ce89828e04cd4e","635abec4b86960c1ce0b684f","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceWrong.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","32","156068","0.0-4.0-4.0-1.0-0.6","5c35132e48ad2900017e535e","635ab8fc87ce89828e04cd4e","635abec4b86960c1ce0b684f","254","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","6","1","2","1","1","false","","","","","","","","","","","",""
"image-keyboard-response","33","156378","0.0-4.0-4.0-1.0-1.6","5c35132e48ad2900017e535e","635ab8fc87ce89828e04cd4e","635abec4b86960c1ce0b684f","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","34","156884","0.0-4.0-4.0-1.0-2.6","5c35132e48ad2900017e535e","635ab8fc87ce89828e04cd4e","635abec4b86960c1ce0b684f","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceWrong.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","35","157221","0.0-4.0-4.0-1.0-0.7","5c35132e48ad2900017e535e","635ab8fc87ce89828e04cd4e","635abec4b86960c1ce0b684f","335","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","practice","7","1","1","2","1","true","","","","","","","","","","","",""
"image-keyboard-response","36","157526","0.0-4.0-4.0-1.0-1.7","5c35132e48ad2900017e535e","635ab8fc87ce89828e04cd4e","635abec4b86960c1ce0b684f","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
