,subject,data_file,lowH_score,highH_score,two_arm24_score,two_arm28_score,first_task,first_bead_block,first_two_arm_seq,lowH_duration,highH_duration,two_arm24_duration,two_arm28_duration,beads_ntrials,two_arm_ntrials,com_rew_stay24,rare_rew_stay24,com_norew_stay24,rare_norew_stay24,com_rew_total24,rare_rew_total24,com_norew_total24,rare_norew_total24,com_rew_stay28,rare_rew_stay28,com_norew_stay28,rare_norew_stay28,com_rew_total28,rare_rew_total28,com_norew_total28,rare_norew_total28,Ipast_beads,Ifuture_beads,Ipast_two_arm,Ifuture_two_arm
10,11.0,cross-domain-model-complexity_PARTICIPANT_SESSION_2022-11-07_11h09.59.497.csv,261.0,199.0,66.0,69.0,two_arm,highH,seq24,6.896716666666666,6.769966666666666,7.716916666666666,6.944366666666666,375.0,125.0,43.0,19.0,38.0,16.0,45.0,20.0,43.0,16.0,46.0,17.0,27.0,18.0,50.0,19.0,36.0,19.0,0.2296990628947725,,0.5860769549132769,
11,12.0,cross-domain-model-complexity_PARTICIPANT_SESSION_2022-11-07_09h56.17.452.csv,237.0,246.0,64.0,65.0,beads,lowH,seq28,10.6762,9.461983333333334,6.0600000000000005,6.206266666666666,375.0,125.0,28.0,9.0,22.0,9.0,45.0,18.0,44.0,17.0,25.0,11.0,24.0,7.0,46.0,18.0,46.0,14.0,0.47964394664990684,,0.053486447426194475,
12,13.0,cross-domain-model-complexity_PARTICIPANT_SESSION_2022-11-07_07h31.49.807.csv,113.0,193.0,69.0,69.0,two_arm,lowH,seq28,6.71025,7.976866666666667,5.801866666666667,6.4482,375.0,125.0,26.0,10.0,15.0,11.0,46.0,22.0,34.0,22.0,24.0,16.0,24.0,11.0,47.0,21.0,38.0,18.0,0.2711361810452692,,0.03647134762907199,
13,14.0,cross-domain-model-complexity_PARTICIPANT_SESSION_2022-11-07_07h31.28.9.csv,237.0,257.0,73.0,70.0,beads,highH,seq28,7.010233333333333,7.9017333333333335,7.433883333333333,7.978533333333333,375.0,125.0,48.0,20.0,31.0,16.0,49.0,23.0,36.0,16.0,52.0,16.0,28.0,23.0,53.0,16.0,32.0,23.0,0.9671357802492394,,0.7435446271399324,
14,15.0,cross-domain-model-complexity_PARTICIPANT_SESSION_2022-11-07_11h38.39.255.csv,284.0,235.0,77.0,66.0,beads,highH,seq28,6.35435,7.636766666666667,6.18295,6.423216666666666,375.0,125.0,38.0,18.0,18.0,10.0,51.0,25.0,30.0,18.0,30.0,10.0,25.0,11.0,46.0,19.0,40.0,19.0,0.4145385796631516,,0.10413371387577014,
15,16.0,cross-domain-model-complexity_PARTICIPANT_SESSION_2022-11-07_09h56.17.615.csv,274.0,249.0,72.0,65.0,beads,highH,seq28,8.04035,10.450516666666665,7.668666666666667,7.565716666666666,375.0,125.0,34.0,16.0,22.0,10.0,45.0,26.0,35.0,18.0,45.0,9.0,31.0,17.0,53.0,11.0,38.0,22.0,0.43346073350035347,,0.19477559491536633,
16,17.0,cross-domain-model-complexity_PARTICIPANT_SESSION_2022-11-07_10h56.48.819.csv,269.0,206.0,74.0,71.0,two_arm,lowH,seq24,6.746216666666667,6.684233333333333,7.031866666666667,6.666666666666667,375.0,125.0,34.0,14.0,24.0,11.0,48.0,25.0,34.0,17.0,40.0,16.0,28.0,7.0,49.0,21.0,38.0,16.0,0.25715760583279096,,0.13832969653582303,
17,18.0,cross-domain-model-complexity_PARTICIPANT_SESSION_2022-11-07_07h28.52.424.csv,254.0,254.0,72.0,71.0,two_arm,lowH,seq28,6.9421,7.845066666666667,8.238766666666667,8.209116666666667,375.0,125.0,38.0,25.0,28.0,14.0,45.0,27.0,36.0,16.0,55.0,13.0,21.0,13.0,55.0,15.0,35.0,19.0,0.6004378794615565,,0.47542366852623674,
18,19.0,cross-domain-model-complexity_PARTICIPANT_SESSION_2022-11-07_10h16.12.294.csv,251.0,261.0,69.0,63.0,beads,lowH,seq28,7.392916666666666,7.121333333333333,7.126166666666666,7.022666666666667,375.0,125.0,45.0,14.0,28.0,18.0,48.0,20.0,34.0,22.0,44.0,11.0,30.0,18.0,50.0,13.0,39.0,22.0,0.3996805880362409,,0.4108605249481462,
19,20.0,cross-domain-model-complexity_PARTICIPANT_SESSION_2022-11-07_08h55.09.290.csv,274.0,248.0,74.0,67.0,two_arm,highH,seq28,6.5880833333333335,7.792,6.3052,6.77285,375.0,125.0,27.0,11.0,17.0,6.0,45.0,28.0,40.0,11.0,26.0,6.0,20.0,8.0,51.0,16.0,40.0,17.0,0.49727726510539966,,0.05326959359105374,
20,21.0,cross-domain-model-complexity_PARTICIPANT_SESSION_2022-11-07_10h10.08.183.csv,188.0,188.0,64.0,61.0,two_arm,lowH,seq28,8.496383333333334,9.2296,5.7040999999999995,6.179733333333333,375.0,125.0,20.0,10.0,21.0,13.0,42.0,21.0,40.0,21.0,19.0,8.0,16.0,11.0,47.0,13.0,40.0,24.0,0.0126374515723524,,0.03349467458900293,
21,22.0,cross-domain-model-complexity_PARTICIPANT_SESSION_2022-11-07_10h40.46.808.csv,249.0,206.0,69.0,68.0,beads,lowH,seq28,7.9243500000000004,6.94675,6.444266666666667,6.6300333333333334,375.0,125.0,35.0,18.0,26.0,14.0,44.0,24.0,37.0,19.0,43.0,7.0,26.0,14.0,53.0,15.0,36.0,20.0,0.2578861520452364,,0.20125221960655199,
22,23.0,cross-domain-model-complexity_PARTICIPANT_SESSION_2022-11-07_10h10.23.454.csv,283.0,243.0,64.0,70.0,two_arm,highH,seq28,7.112366666666667,9.450416666666666,5.463983333333333,6.9316,375.0,125.0,15.0,8.0,18.0,8.0,45.0,18.0,39.0,22.0,28.0,13.0,19.0,11.0,51.0,19.0,35.0,19.0,0.4049860697489106,,0.041576968560548745,
23,24.0,cross-domain-model-complexity_PARTICIPANT_SESSION_2022-11-07_10h51.58.684.csv,272.0,185.0,73.0,63.0,beads,lowH,seq24,6.05305,6.3431999999999995,6.30325,6.007316666666667,375.0,125.0,27.0,13.0,19.0,8.0,44.0,29.0,33.0,18.0,34.0,8.0,22.0,7.0,48.0,15.0,40.0,21.0,0.19980842073085683,,0.06347900243275105,
24,25.0,cross-domain-model-complexity_PARTICIPANT_SESSION_2022-11-07_10h30.02.151.csv,190.0,172.0,65.0,65.0,two_arm,highH,seq28,8.29825,7.2502,5.74855,5.547166666666667,375.0,125.0,20.0,14.0,16.0,11.0,40.0,25.0,40.0,19.0,28.0,6.0,26.0,10.0,47.0,17.0,41.0,19.0,0.020671279802151853,,0.04466021941378938,
